date,wh_topic_0,wh_topic_1,wh_topic_2,wh_topic_3,wh_topic_4,wh_topic_5,wh_topic_6,wh_topic_7,wh_topic_8,wh_topic_9
2022-29,0.10030122,0.12211639,0.15086444,0.079904005,0.2024269,0.06563511,0.08456165,0.113330804,0.03261944,0.048239965
2022-30,0.104999796,0.111942,0.14611903,0.070381284,0.15136155,0.054546792,0.0729583,0.10346733,0.017868606,0.16635536
2022-31,0.07482468,0.12275529,0.2275477,0.054904304,0.14605527,0.087813616,0.0820938,0.07915536,0.02211959,0.10273039
2022-32,0.07305779,0.122070186,0.20647779,0.1075657,0.09813732,0.10728227,0.052856907,0.090508945,0.0071210293,0.1349221
2022-33,0.026269903,0.10837045,0.11755081,0.01442156,0.14931032,0.018484045,0.0997247,0.0071222754,0.035505638,0.4232403
2022-34,0.093060054,0.11910077,0.15218754,0.12755455,0.13770644,0.13824566,0.080855824,0.06408037,0.0028916693,0.08431714
2022-35,0.12081272,0.1602042,0.12199794,0.103114694,0.16443911,0.060348988,0.04378585,0.0986771,0.0429244,0.083694965
2022-36,0.09495892,0.14458452,0.13656995,0.13661692,0.11267469,0.11042061,0.0641843,0.07473833,0.028958458,0.096293315
2022-37,0.13874407,0.12713654,0.18281382,0.13678227,0.112699166,0.041545723,0.032129522,0.0783807,0.03172143,0.118046805
2022-38,0.12867653,0.12260103,0.17623954,0.14142507,0.11705274,0.12679258,0.0285769,0.068263225,0.038691428,0.05168095
2022-39,0.15983611,0.098148726,0.15373716,0.097808085,0.1608164,0.12345207,0.059576135,0.081665926,0.017609648,0.047349777
2022-40,0.077263944,0.08226677,0.11736502,0.14090304,0.19069909,0.10520586,0.031319894,0.1044806,0.026228853,0.12426693
2022-41,0.10587557,0.09716979,0.15134731,0.17180496,0.11109756,0.14116494,0.020762313,0.07557943,0.016829526,0.10836857
2022-42,0.111542314,0.091161564,0.097884186,0.17727354,0.1427206,0.07464983,0.047250472,0.120958276,0.019618908,0.11694029
2022-43,0.10708846,0.07184458,0.19471776,0.19095357,0.07510616,0.082428485,0.043324046,0.06374539,0.016616082,0.15417546
2022-44,0.10729842,0.052375972,0.12454092,0.24775334,0.086986765,0.05642296,0.018058205,0.082772434,0.073645145,0.15014581
2022-45,0.17500761,0.066718645,0.109563105,0.16910698,0.17265818,0.10215963,0.011341571,0.084902115,0.060534745,0.04800753
2022-46,0.2533134,0.086843275,0.13794859,0.06435494,0.06448567,0.20781603,0.0039315787,0.07202291,0.056533076,0.05275064
2022-47,0.16492172,0.06419046,0.26456967,0.14494307,0.108595125,0.08441556,0.035049092,0.08681352,0.037493195,0.009008605
2022-48,0.12942106,0.07513067,0.23348781,0.13661093,0.16999237,0.059481855,0.009448825,0.09175831,0.018652381,0.07601576
2022-49,0.11250436,0.11641957,0.1311586,0.118815064,0.083101116,0.1125849,0.019562535,0.15685335,0.051006015,0.09799449
2022-50,0.28631154,0.09064764,0.13484517,0.086645976,0.13334887,0.05657919,0.03472242,0.0522791,0.07179995,0.052820176
2022-51,0.09584068,0.1576127,0.13479498,0.12232642,0.108523406,0.17066398,0.02246944,0.075165026,0.020144505,0.092458926
2022-52,0.13968058,0.19745827,0.17745632,0.070510596,0.14466603,0.11129696,0.03720413,0.035932414,0.0071010306,0.07869369
2023-01,0.05364483,0.11972763,0.18321796,0.1738094,0.070380576,0.1086094,0.0047540367,0.13060667,0.0018381692,0.15341131
2023-02,0.1764154,0.07345279,0.14322944,0.09971544,0.1320332,0.13616914,0.010338321,0.12073271,0.011665639,0.096247934
2023-03,0.13574578,0.061592706,0.13984412,0.14471713,0.15625766,0.12531169,0.012476502,0.1151525,0.018469522,0.09043244
2023-04,0.104940444,0.10693971,0.21050364,0.08665212,0.13029878,0.09602256,0.01960168,0.14103849,0.029574867,0.0744277
2023-05,0.08804844,0.12097464,0.15882306,0.19323877,0.13933015,0.053161662,0.01549799,0.098088965,0.0066666906,0.12616958
2023-06,0.10169211,0.079256445,0.09673345,0.14452663,0.17766564,0.1206966,0.02118753,0.09630954,0.011041058,0.15089098
2023-07,0.07059132,0.17417601,0.1510484,0.07787227,0.14070372,0.12945622,0.014118173,0.09011733,0.011469534,0.14044704
2023-08,0.13026856,0.101253286,0.17453732,0.07924271,0.10072486,0.2648252,0.007735457,0.058732383,0.03939046,0.043289755
2023-09,0.09777606,0.18206048,0.0928129,0.12099734,0.16956444,0.0824213,0.020612998,0.10372296,0.01906311,0.110968396
2023-10,0.13727461,0.081613146,0.10348843,0.097249076,0.20987046,0.07616429,0.010203537,0.08031373,0.036394443,0.16742834
2023-11,0.1613402,0.096870355,0.14758465,0.13252677,0.10545527,0.118895285,0.029439518,0.071034715,0.015242236,0.12161097
2023-12,0.14431627,0.11497553,0.16095135,0.07718797,0.18084474,0.075180076,0.016091995,0.073421195,0.023124155,0.13390665
2023-13,0.2156169,0.095151424,0.1527901,0.10225479,0.1305972,0.053366523,0.018338269,0.099607415,0.03396806,0.09830932
2023-14,0.07975096,0.11223216,0.1982379,0.06344853,0.12692583,0.10021806,0.02701928,0.095391184,0.050463706,0.14631236
2023-15,0.121389456,0.0841327,0.19988789,0.16206093,0.120575756,0.1095841,0.021350391,0.085282974,0.014428663,0.08130712
2023-16,0.10121694,0.15152498,0.19752647,0.09286246,0.12243753,0.06355634,0.008515782,0.078613244,0.063214056,0.120532155
2023-17,0.15968734,0.106571,0.25077033,0.14217307,0.08055487,0.07210923,0.008181981,0.06499657,0.008849726,0.10610588
2023-18,0.2048259,0.13429514,0.1302857,0.09772027,0.10616201,0.053886995,0.032468993,0.11025715,0.024025356,0.10607253
2023-19,0.14346884,0.11958188,0.15999949,0.14596978,0.11815837,0.063257135,0.019117791,0.12226761,0.02308112,0.085098036
2023-20,0.21586286,0.07564416,0.13417998,0.095209934,0.11844776,0.08776258,0.014609391,0.10208708,0.05943641,0.09675985
2023-21,0.13456324,0.08854058,0.2270391,0.14801852,0.14327121,0.07879463,0.005405232,0.080605626,0.025620243,0.06814161
2023-22,0.16233017,0.06526548,0.17439471,0.09486859,0.14317818,0.09357103,0.015869344,0.09646611,0.04638697,0.107669376
2023-23,0.09143774,0.10705543,0.22029701,0.090617724,0.15374091,0.11227694,0.013830208,0.082267374,0.03171,0.0967666
2023-24,0.16422334,0.09162027,0.20661573,0.1462842,0.12850265,0.070973486,0.016295888,0.064421155,0.017264979,0.09379836
2023-25,0.122487694,0.09964592,0.21123318,0.17417642,0.118402235,0.08021292,0.007831672,0.063465916,0.041774545,0.080769494
2023-26,0.070478566,0.06860299,0.24336955,0.14730865,0.1517919,0.09206078,0.011556382,0.068326384,0.012624697,0.13388005
2023-27,0.08419809,0.09102214,0.16810043,0.15035146,0.0764758,0.15493353,0.024939105,0.088317625,0.0064518787,0.15520993
2023-28,0.13279916,0.08660272,0.11505014,0.11090483,0.11000195,0.1826643,0.0073747467,0.05896341,0.049836397,0.14580236
2023-29,0.13411218,0.14137058,0.1931991,0.099554695,0.13915884,0.07293955,0.019148743,0.085802644,0.008020282,0.106693365
2023-30,0.14177857,0.1439193,0.14494894,0.1099117,0.18642278,0.046320654,0.018886313,0.08464095,0.03528059,0.08789021
2023-31,0.19163151,0.031518947,0.20721014,0.05477282,0.11202056,0.07844575,0.0033834812,0.013213586,0.008738371,0.29906482
2023-32,0.11755979,0.11739098,0.15863462,0.17460655,0.15349095,0.05271263,0.023234997,0.0435136,0.019662037,0.13919385
2023-33,0.20884007,0.044891585,0.17667152,0.1478986,0.10354644,0.06021663,0.04729843,0.069767326,0.021060498,0.119808905
2023-34,0.15453671,0.06062694,0.1661827,0.13257731,0.20326534,0.13840444,0.04585224,0.049142897,0.012431726,0.03697966
2023-35,0.05277913,0.06428054,0.25065234,0.15100938,0.16719185,0.023310525,0.03380573,0.10443056,0.0033059532,0.14923401
2023-36,0.29467627,0.18393725,0.1051871,0.069208555,0.06574776,0.06585874,0.017274538,0.069205165,0.07730604,0.0515986
2023-37,0.22724396,0.09465729,0.17954074,0.12770642,0.118706495,0.0770463,0.0209473,0.05612331,0.0137338685,0.08429428
2023-38,0.20678326,0.07257764,0.1476783,0.14259636,0.103630625,0.10461301,0.019151261,0.06446771,0.055893216,0.08260858
2023-39,0.14332736,0.095709845,0.19179474,0.14505497,0.14938495,0.045049056,0.028062465,0.08453482,0.023062037,0.09401971
2023-40,0.12932254,0.080183074,0.15381134,0.11517627,0.08815297,0.17449,0.0062770545,0.14437495,0.005860648,0.102351226
2023-41,0.077190645,0.078475975,0.23268765,0.10694913,0.09984925,0.19195475,0.022117486,0.08544584,0.016683156,0.08864611
2023-42,0.08487756,0.068206154,0.21728952,0.12973863,0.12621292,0.23243141,0.026086232,0.037610315,0.01781382,0.059733517
2023-43,0.13607578,0.12724344,0.18883096,0.06336799,0.11688542,0.17246296,0.025612893,0.05567703,0.024704162,0.089139305
2023-44,0.21314687,0.08656709,0.103743196,0.08968441,0.14073727,0.12594324,0.011916823,0.095715635,0.037292648,0.095252775
2023-45,0.121491104,0.06957444,0.17742352,0.13770801,0.11570926,0.13291909,0.009552292,0.10670481,0.011573335,0.11734419
2023-46,0.24507798,0.07640281,0.13332966,0.12629882,0.114489384,0.11978948,0.008437002,0.04985086,0.05151781,0.0748062
2023-47,0.08983584,0.025267925,0.31723344,0.15505925,0.054395832,0.23995188,0.006442025,0.05263379,0.009088678,0.050091315
2023-48,0.16106945,0.08355758,0.17910962,0.09678788,0.082758926,0.1270486,0.03006534,0.088782094,0.05645436,0.09436628
2023-49,0.1435653,0.07939018,0.17043205,0.13892248,0.15565936,0.13234848,0.017052326,0.07933217,0.012925058,0.07037259
2023-50,0.18416621,0.043210737,0.13990708,0.10235806,0.14664404,0.1505013,0.008173695,0.090754874,0.031876974,0.102407016
2023-51,0.12823647,0.075684644,0.1994121,0.070379995,0.16908094,0.112320185,0.015697695,0.12041614,0.019198243,0.089573614
2023-52,0.0973211,0.16184177,0.16328722,0.045915548,0.05023797,0.35750735,0.014092755,0.05365473,0.0019347108,0.054206844
2023-53,0.0011057337,0.2004976,0.64507866,0.012806667,0.0011056564,0.0011055127,0.0011056296,0.0011056811,0.019382317,0.11670655
